id;org_id;area_id;is_active;created_by;created_date;last_modified_by;last_modified_date
1;71649;bypassing Internal Fresh;true;Borders Cambridgeshire;2022-11-24T04:48:57;Rubber Soft collaborative;2022-11-23T09:06:34
2;90822;Sports Creative redefine;false;International;2022-11-23T19:22:58;Branding;2022-11-24T01:00:02
3;97737;Sports Shoals;true;wireless Steel;2022-11-23T19:27:45;metrics function;2022-11-24T00:14:15
4;78242;orchid;true;Mouse bluetooth Manat;2022-11-23T19:02:44;parsing;2022-11-24T07:21:18
5;85356;integrate;true;THX;2022-11-24T05:52:31;Towels SSL circuit;2022-11-24T04:59:20
6;1683;granular;false;deliverables quantify Hat;2022-11-24T03:23:48;deposit Rubber;2022-11-23T21:51:49
7;22214;productize Mobility firmware;true;Krone withdrawal;2022-11-23T20:04:11;Assurance strategic hack;2022-11-23T16:35:12
8;29171;Assurance;true;superstructure;2022-11-23T22:53:08;Cheese Small bypass;2022-11-24T01:32:40
9;72845;Key withdrawal Decentralized;true;Buckinghamshire grey;2022-11-23T13:43:03;Compatible;2022-11-24T04:57:27
10;36306;Investment maroon Ukraine;false;hack synergize contextually-based;2022-11-23T08:51:54;application;2022-11-23T22:52:13
